Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
@	R	 	2834	0.523554406059486
@	r	@	525	0.522908366533865
p	r	6	12	0.521739130434783
#	d	H	12	0.521739130434783
f	$	T	12	0.521739130434783
w	Q	J	25	0.520833333333333
d	r	E	50	0.520833333333333
z	I	k	26	0.52
s	@	b	158	0.519736842105263
@	s	k	40	0.519480519480519
#	s	t	138	0.518796992481203
f	l	{	71	0.518248175182482
N	g	r	29	0.517857142857143
p	l	{	58	0.517857142857143
m	p	3	15	0.517241379310345
t	r	@	192	0.516129032258065
E	n	z	17	0.515151515151515
w	{	g	20	0.512820512820513
5	S	H	20	0.512820512820513
p	j	9	27	0.509433962264151
f	I	k	163	0.509375
l	I	s	548	0.509293680297398
j	9	R	42	0.506024096385542
E	k	s	240	0.504201680672269
s	I	z	67	0.503759398496241
2	@	T	3	0.5
6	t	v	1	0.5
T	k	w	1	0.5
H	r	1	1	0.5
H	t	V	2	0.5
6	s	5	1	0.5
_	w	2	1	0.5
V	n	V	5	0.5
D	8	d	2	0.5
g	6	J	1	0.5
E	k	6	1	0.5
E	n	3	1	0.5
1	g	3	1	0.5
z	r	4	1	0.5
2	s	J	1	0.5
V	n	2	2	0.5
H	s	Q	1	0.5
H	h	{	2	0.5
_	i	2	1	0.5
P	p	#	2	0.5
P	w	8	1	0.5
8	w	3	2	0.5
I	z	F	1	0.5
v	_	i	1	0.5
_	w	1	3	0.5
8	r	6	1	0.5
3	m	{	6	0.5
2	t	f	12	0.5
I	$	R	2	0.5
{	n	4	1	0.5
b	1	D	8	0.5
2	b	$	4	0.5
3	T	k	3	0.5
z	{	_	4	0.5
v	I	5	2	0.5
{	l	~	1	0.5
n	s	q	1	0.5
u	m	q	1	0.5
N	g	8	2	0.5
V	n	Q	1	0.5
J	E	S	1	0.5
T	H	w	1	0.5
 	l	0	1	0.5
8	t	u	4	0.5
E	f	4	1	0.5
Q	r	#	4	0.5
g	r	7	3	0.5
u	j	8	1	0.5
S	U	g	10	0.5
Z	@	g	1	0.5
u	f	q	1	0.5
E	l	4	1	0.5
h	u	I	1	0.5
