No.	Word	Biphone joint trans logprob	Triphone joint trans logprob	Biphone avg trans logprob	Triphone avg trans logprob	Triphone avg centered logprob	Avg biphone prob	Avg triphone prob	NNB	NNB freq	Neighbors	GNM sim	GNM sim (adj.)	Nearest neighbors
60	sm8f	-19.4245345526223	-inf	-3.08186064476777	-2.85871709345356	-3.41262607748578	-5.66210660098983	-6.52175467475188	0	0		0.0138781838686456	3.58322374032315e-07	safe (127, 1.13636), safe (1584, 1.13636), smith (50, 1.32384), smith (695, 1.32384), steph (11, 1.38625)
61	sm8g	-21.1825894332642	-inf	-3.17183890416764	-2.94869535285343	-3.41262607748578	-5.68416342270338	-6.52175467475188	2	7.43366654016617		0.0315016425783387	8.13344416057904e-07	smug (45, 0.79365), smog (34, 0.89855), smack (20, 1.27094), smack (107, 1.27094), smack (18, 1.27094)
62	smilT	-21.2378092786834	-inf	-2.60295161985936	-2.42063006306541	-3.22322634632737	-5.80097620041896	-6.44012172025501	0	0		0.00469650361488399	1.21259549582608e-07	smith (50, 1.37857), smith (695, 1.37857), meal (1629, 1.40000), seal (255, 1.40000), seal (324, 1.40000)
63	sminT	-19.3916673432938	-13.3978449243421	-2.47766351047623	-2.29534195368227	-1.87086598315074	-5.75522790427267	-6.09281253230392	0	0		0.004108352547808	1.06074011716919e-07	smith (50, 1.37857), smith (695, 1.37857), mean (151, 1.40000), mean (13126, 1.40000), mean (472, 1.40000)
64	sm7g	-20.1869075254006	-inf	-3.16191338813059	-2.93876983681638	-3.08100324168847	-5.68018885467305	-6.47680328688962	4	16.3745576079516		0.0304399610249173	7.8593274185839e-07	smug (45, 0.89706), smog (34, 0.94366), smear (65, 1.00000), smear (112, 1.00000), swig (31, 1.18167)
65	smVm	-14.4425718130794	-11.5060331137625	-2.51823060835983	-2.29508705704562	-2.33277070417532	-5.42127850833056	-5.89391259259971	13	58.1968385168988		0.17939785034308	4.631893066099e-06	mum (277, 0.70000), mum (6, 0.70000), some (1369, 0.70000), some (32863, 0.70000), sum (864, 0.70000)
66	snEl	-14.8445342618647	-inf	-2.59927910022976	-2.37613554891555	-2.90757894622362	-5.3042442049693	-5.49049456811327	14	71.155217984859		0.197383614869502	5.09626952233359e-06	cell (1216, 0.70000), knell (7, 0.70000), sell (20, 0.70000), sell (2596, 0.70000), snail (80, 0.70000)
67	sn4ks	-21.3550421186091	-inf	-2.61700891601751	-2.43468735922356	-2.74905866997496	-5.24344069060407	-5.17772012292188	0	0		0.00510380869537877	1.31775804791479e-07	snook (3, 1.29596), sneak (11, 1.39231), sneak (109, 1.39231), slacks (107, 1.40847), snips (1, 1.44240)
68	sp{k	-12.0130325527896	-9.29340734752121	-2.30668173029378	-2.08353817897957	-1.3934378431495	-5.15592751727983	-4.49239723746946	30	122.784967329664		0.456762768780441	1.17932087676652e-05	spec (8, 0.53846), speck (80, 0.53846), spat (8, 0.65385), stack (221, 0.67857), stack (198, 0.67857)
69	splIN	-12.1050623036158	-10.0740986204483	-1.65977223302107	-1.47745067622712	-1.08331903919072	-4.85840206945244	-3.66594527606222	11	55.4032780645415		0.362900372254642	9.36976510429996e-06	spring (1260, 0.37500), spring (603, 0.37500), spelling (164, 0.70000), sapling (44, 0.70000), sling (63, 0.70000)
70	spr#f	-16.3994897611168	-12.9578771818342	-2.51720292991297	-2.33488137311901	-1.67261893897447	-5.47424916835767	-4.79244140878447	1	2.83321334405622		0.0295816770490662	7.63772612353573e-07	strafe (15, 0.67857), scarf (219, 1.27143), sprawl (30, 1.28170), sprawl (165, 1.28170), staff (20, 1.37857)
71	skw5lk	-21.5958246785941	-17.845220918671	-2.60400488607904	-2.44985420625178	-1.45603194581164	-5.48759740206536	-5.04573869185862	0	0		0.0060734078503937	1.56809993297196e-07	squall (13, 1.22632), squall (8, 1.22632), squawk (11, 1.22632), squawk (33, 1.22632), scroll (83, 1.40370)
72	skwIl	-14.9189783005011	-10.8582066468773	-2.33375986891756	-2.1514383121236	-1.17649710507741	-5.23599305537066	-4.46792570892877	10	35.7279276889306		0.165120244200641	4.26325796392143e-06	squeal (31, 0.67857), squeal (79, 0.67857), skill (1456, 0.70000), quill (49, 0.70000), swill (8, 0.70000)
73	stIn	-9.48720443492797	-9.07411890442518	-1.86542478605759	-1.64228123474338	-1.16899795371447	-4.48792655692984	-3.55222477359192	34	168.565944486437		0.710432002611423	1.8342722950903e-05	still (21, 0.47368), still (24, 0.47368), still (653, 0.47368), still (15641, 0.47368), skin (1832, 0.65385)
74	stIp	-11.3788258582476	-9.44082768197707	-2.05792433061562	-1.83478077930141	-1.18052625071717	-4.74620550481123	-3.69873509888521	36	181.008942794152		0.625953432980566	1.61615613586163e-05	stick (698, 0.57143), stick (1683, 0.57143), step (1841, 0.60870), step (1030, 0.60870), steppe (21, 0.60870)
75	st2@R	-11.7327702674894	-10.0575332026767	-1.30956400269955	-1.1272424459056	-0.667354666330386	-4.76462561200131	-2.98744744524142	9	31.6127581663355		0.151583921624954	3.91376214466329e-06	spire (132, 0.67857), satire (61, 0.70000), sire (10, 0.70000), sire (5, 0.70000), tire (138, 0.70000)
76	t#k	-12.3186844056228	-8.05230966974753	-2.64288579488789	-2.3552037224361	-3.00117612784071	-5.71156654531375	-6.0948105349666	48	208.450277325757		1.10139055537065	2.84369253406998e-05	talk (826, 0.36170), talk (9141, 0.36170), torque (38, 0.36170), turk (127, 0.55556), dark (666, 0.58824)
77	tip	-12.6217803795322	-7.59568328190314	-2.9467650377463	-2.65908296529452	-3.04014121614561	-5.97457056413739	-5.8324462704991	56	287.349184234208		0.987512488364803	2.54966948533424e-05	teak (20, 0.57143), deep (49, 0.58824), deep (2267, 0.58824), deep (739, 0.58824), cheap (1128, 0.59375)
