Phon1	Phon2	Phon3	Count	Phon1Phon2 Count	Prob(Phon3|Phon1Phon2)
2	m	w	1	154	0.00649350649350649
V	N	d	1	154	0.00649350649350649
5	d	h	1	154	0.00649350649350649
b	2	z	1	154	0.00649350649350649
2	m	f	1	154	0.00649350649350649
2	m	5	1	154	0.00649350649350649
2	m	$	1	154	0.00649350649350649
w	i	s	1	154	0.00649350649350649
b	2	v	1	154	0.00649350649350649
5	d	5	1	154	0.00649350649350649
V	N	f	1	154	0.00649350649350649
5	d	l	1	154	0.00649350649350649
5	d	z	1	154	0.00649350649350649
 	r	U	13	2005	0.00648379052369077
Q	l	7	3	463	0.00647948164146868
Q	l	s	3	463	0.00647948164146868
Q	l	k	3	463	0.00647948164146868
Q	l	d	3	463	0.00647948164146868
I	v	Q	6	926	0.00647948164146868
Q	s	g	2	309	0.00647249190938511
Q	s	s	2	309	0.00647249190938511
Q	s	h	2	309	0.00647249190938511
2	n	Q	3	464	0.00646551724137931
2	n	s	3	464	0.00646551724137931
Q	k	P	3	464	0.00646551724137931
Q	k	6	3	464	0.00646551724137931
Q	k	5	3	464	0.00646551724137931
2	n	i	3	464	0.00646551724137931
g	5	r	1	155	0.00645161290322581
g	5	{	1	155	0.00645161290322581
g	5	f	1	155	0.00645161290322581
g	5	m	1	155	0.00645161290322581
g	5	k	1	155	0.00645161290322581
k	5	T	2	311	0.00643086816720257
k	5	i	2	311	0.00643086816720257
k	5	r	2	311	0.00643086816720257
@	n	i	22	3422	0.00642898889538282
@	n	S	22	3422	0.00642898889538282
r	i	5	5	778	0.006426735218509
r	i	T	5	778	0.006426735218509
r	i	D	5	778	0.006426735218509
r	6	I	1	156	0.00641025641025641
#	s	r	2	312	0.00641025641025641
#	s	w	2	312	0.00641025641025641
#	s	u	2	312	0.00641025641025641
r	6	b	1	156	0.00641025641025641
#	s	f	2	312	0.00641025641025641
#	s	2	2	312	0.00641025641025641
t	r	#	10	1562	0.00640204865556978
n	@	v	6	938	0.00639658848614072
n	d	$	11	1722	0.00638792102206736
j	U	f	3	470	0.00638297872340425
j	U	d	3	470	0.00638297872340425
j	U	@	3	470	0.00638297872340425
2	@	T	3	470	0.00638297872340425
j	U	s	3	470	0.00638297872340425
2	@	f	3	470	0.00638297872340425
w	@	T	1	157	0.00636942675159236
l	t	E	2	314	0.00636942675159236
l	t	5	2	314	0.00636942675159236
l	t	p	2	314	0.00636942675159236
w	@	 	1	157	0.00636942675159236
l	t	f	2	314	0.00636942675159236
l	t	w	2	314	0.00636942675159236
l	t	h	2	314	0.00636942675159236
l	t	j	2	314	0.00636942675159236
w	@	v	1	157	0.00636942675159236
w	@	m	1	157	0.00636942675159236
 	s	#	29	4571	0.00634434478232334
 	5	1	2	316	0.00632911392405063
Q	b	5	1	158	0.00632911392405063
 	5	z	2	316	0.00632911392405063
Q	b	w	1	158	0.00632911392405063
Q	b	g	1	158	0.00632911392405063
k	s	f	6	949	0.00632244467860906
k	s	1	6	949	0.00632244467860906
k	s	m	6	949	0.00632244467860906
k	s	$	6	949	0.00632244467860906
p	r	7	8	1270	0.0062992125984252
{	k	7	5	794	0.00629722921914358
{	k	k	5	794	0.00629722921914358
{	k	d	5	794	0.00629722921914358
{	k	m	5	794	0.00629722921914358
Q	t	g	2	318	0.00628930817610063
Q	t	m	2	318	0.00628930817610063
Q	t	p	2	318	0.00628930817610063
s	5	r	1	159	0.00628930817610063
g	I	z	1	159	0.00628930817610063
Q	t	t	2	318	0.00628930817610063
Q	t	Q	2	318	0.00628930817610063
g	I	k	1	159	0.00628930817610063
I	n	5	18	2863	0.00628711142158575
I	S	E	4	637	0.00627943485086342
 	k	U	22	3505	0.00627674750356633
f	@	v	2	319	0.00626959247648903
f	@	p	2	319	0.00626959247648903
f	@	S	2	319	0.00626959247648903
{	n	l	8	1276	0.00626959247648903
t	l	Q	3	479	0.00626304801670146
t	l	1	3	479	0.00626304801670146
t	l	$	3	479	0.00626304801670146
3	m	d	1	160	0.00625
3	m	Q	1	160	0.00625
h	2	1	1	160	0.00625
r	5	{	4	640	0.00625
@	v	9	1	160	0.00625
h	2	g	1	160	0.00625
3	m	V	1	160	0.00625
h	2	i	1	160	0.00625
3	m	4	1	160	0.00625
3	m	n	1	160	0.00625
@	v	f	1	160	0.00625
3	m	l	1	160	0.00625
@	v	$	1	160	0.00625
3	m	7	1	160	0.00625
h	2	V	1	160	0.00625
3	m	w	1	160	0.00625
3	m	h	1	160	0.00625
3	m	z	1	160	0.00625
l	E	T	3	481	0.00623700623700624
n	t	j	16	2569	0.00622810432074737
n	t	Q	16	2569	0.00622810432074737
m	p	6	5	803	0.0062266500622665
@	m	6	7	1126	0.00621669626998224
@	m	b	7	1126	0.00621669626998224
r	I	1	20	3218	0.00621504039776259
D	@	s	1	161	0.0062111801242236
l	d	t	2	322	0.0062111801242236
l	d	j	2	322	0.0062111801242236
D	@	_	1	161	0.0062111801242236
l	d	d	2	322	0.0062111801242236
D	@	f	1	161	0.0062111801242236
D	@	v	1	161	0.0062111801242236
l	d	1	2	322	0.0062111801242236
v	I	h	3	484	0.00619834710743802
v	I	w	3	484	0.00619834710743802
m	I	f	7	1132	0.00618374558303887
k	I	z	4	647	0.00618238021638331
{	p	j	2	324	0.00617283950617284
{	p	2	2	324	0.00617283950617284
d	Q	v	1	162	0.00617283950617284
d	Q	r	1	162	0.00617283950617284
f	{	z	1	162	0.00617283950617284
m	@	f	8	1296	0.00617283950617284
m	@	g	8	1296	0.00617283950617284
d	Q	b	1	162	0.00617283950617284
{	p	n	2	324	0.00617283950617284
t	I	b	21	3407	0.00616378045201057
1	t	5	6	975	0.00615384615384615
1	t	m	6	975	0.00615384615384615
 	d	8	14	2278	0.00614574187884109
 	d	u	14	2278	0.00614574187884109
v	3	n	1	163	0.00613496932515337
v	3	R	1	163	0.00613496932515337
v	E	J	1	163	0.00613496932515337
v	3	v	1	163	0.00613496932515337
E	t	{	3	490	0.00612244897959184
E	t	T	3	490	0.00612244897959184
l	i	@	2	327	0.00611620795107034
l	i	r	2	327	0.00611620795107034
V	n	j	6	981	0.00611620795107034
l	i	w	2	327	0.00611620795107034
_	@	t	2	329	0.0060790273556231
_	I	r	3	495	0.00606060606060606
{	s	H	2	330	0.00606060606060606
{	s	1	2	330	0.00606060606060606
{	s	l	2	330	0.00606060606060606
{	s	E	2	330	0.00606060606060606
{	s	r	2	330	0.00606060606060606
{	s	b	2	330	0.00606060606060606
{	s	7	2	330	0.00606060606060606
{	s	j	2	330	0.00606060606060606
{	s	3	2	330	0.00606060606060606
{	s	#	2	330	0.00606060606060606
@	t	u	9	1489	0.00604432505036938
I	p	f	4	662	0.00604229607250755
h	5	b	1	166	0.00602409638554217
5	n	p	2	332	0.00602409638554217
5	n	6	2	332	0.00602409638554217
s	l	6	4	666	0.00600600600600601
 	k	2	21	3505	0.00599144079885877
Q	f	b	1	167	0.00598802395209581
#	f	v	1	167	0.00598802395209581
Q	f	D	1	167	0.00598802395209581
#	f	8	1	167	0.00598802395209581
#	f	m	1	167	0.00598802395209581
u	t	9	2	334	0.00598802395209581
#	f	i	1	167	0.00598802395209581
#	f	E	1	167	0.00598802395209581
#	f	s	1	167	0.00598802395209581
Q	f	d	1	167	0.00598802395209581
#	f	3	1	167	0.00598802395209581
u	t	$	2	334	0.00598802395209581
#	f	1	1	167	0.00598802395209581
u	t	m	2	334	0.00598802395209581
Q	f	j	1	167	0.00598802395209581
u	t	k	2	334	0.00598802395209581
u	t	H	2	334	0.00598802395209581
 	r	@	12	2005	0.00598503740648379
2	t	b	3	503	0.00596421471172962
2	t	S	3	503	0.00596421471172962
2	t	{	3	503	0.00596421471172962
n	v	#	1	168	0.00595238095238095
p	j	{	1	168	0.00595238095238095
p	V	_	1	168	0.00595238095238095
r	E	Z	6	1008	0.00595238095238095
r	E	b	6	1008	0.00595238095238095
I	s	f	20	3362	0.00594883997620464
I	s	r	20	3362	0.00594883997620464
r	2	{	3	505	0.00594059405940594
I	n	2	17	2863	0.00593782745371987
U	l	5	4	674	0.00593471810089021
$	l	f	2	337	0.00593471810089021
$	l	2	2	337	0.00593471810089021
U	l	d	4	674	0.00593471810089021
 	V	D	4	675	0.00592592592592593
 	V	k	4	675	0.00592592592592593
2	k	b	1	169	0.00591715976331361
2	k	s	1	169	0.00591715976331361
n	P	b	1	169	0.00591715976331361
b	I	m	4	676	0.00591715976331361
Q	N	r	1	169	0.00591715976331361
n	P	m	1	169	0.00591715976331361
2	k	m	1	169	0.00591715976331361
Q	N	#	1	169	0.00591715976331361
2	k	j	1	169	0.00591715976331361
2	k	n	1	169	0.00591715976331361
2	k	w	1	169	0.00591715976331361
Q	N	z	1	169	0.00591715976331361
Q	N	p	1	169	0.00591715976331361
n	P	E	1	169	0.00591715976331361
@	s	5	8	1354	0.00590841949778434
r	I	Q	19	3218	0.00590428837787446
m	b	6	2	339	0.00589970501474926
3	n	l	1	170	0.00588235294117647
3	n	n	1	170	0.00588235294117647
3	n	{	1	170	0.00588235294117647
3	n	r	1	170	0.00588235294117647
3	n	j	1	170	0.00588235294117647
3	n	p	1	170	0.00588235294117647
3	n	i	1	170	0.00588235294117647
3	n	6	1	170	0.00588235294117647
3	n	2	1	170	0.00588235294117647
S	H	s	9	1533	0.00587084148727984
s	1	@	1	171	0.00584795321637427
m	j	#	1	171	0.00584795321637427
s	1	j	1	171	0.00584795321637427
s	1	q	1	171	0.00584795321637427
s	1	g	1	171	0.00584795321637427
s	1	s	1	171	0.00584795321637427
 	g	w	6	1029	0.00583090379008746
I	g	w	3	515	0.0058252427184466
I	g	d	3	515	0.0058252427184466
I	g	s	3	515	0.0058252427184466
I	g	E	3	515	0.0058252427184466
I	g	3	3	515	0.0058252427184466
#	m	4	1	172	0.00581395348837209
#	m	#	1	172	0.00581395348837209
b	$	h	1	172	0.00581395348837209
#	m	w	1	172	0.00581395348837209
b	$	b	1	172	0.00581395348837209
 	2	m	1	172	0.00581395348837209
#	m	k	1	172	0.00581395348837209
l	j	5	1	172	0.00581395348837209
#	m	E	1	172	0.00581395348837209
#	m	b	1	172	0.00581395348837209
 	2	S	1	172	0.00581395348837209
 	2	p	1	172	0.00581395348837209
#	m	J	1	172	0.00581395348837209
l	j	3	1	172	0.00581395348837209
 	2	z	1	172	0.00581395348837209
 	2	f	1	172	0.00581395348837209
 	2	#	1	172	0.00581395348837209
 	2	i	1	172	0.00581395348837209
 	2	j	1	172	0.00581395348837209
#	m	j	1	172	0.00581395348837209
#	m	n	1	172	0.00581395348837209
n	d	w	10	1722	0.00580720092915215
n	d	n	10	1722	0.00580720092915215
n	d	h	10	1722	0.00580720092915215
n	d	k	10	1722	0.00580720092915215
n	d	i	10	1722	0.00580720092915215
5	l	k	3	517	0.00580270793036751
5	l	i	3	517	0.00580270793036751
 	J	6	2	345	0.00579710144927536
 	J	4	2	345	0.00579710144927536
d	P	z	1	173	0.00578034682080925
d	P	1	1	173	0.00578034682080925
i	v	n	1	173	0.00578034682080925
d	P	v	1	173	0.00578034682080925
i	v	8	1	173	0.00578034682080925
p	Q	d	2	346	0.00578034682080925
$	s	u	1	173	0.00578034682080925
d	P	h	1	173	0.00578034682080925
p	Q	f	2	346	0.00578034682080925
$	s	s	1	173	0.00578034682080925
d	P	f	1	173	0.00578034682080925
$	s	H	1	173	0.00578034682080925
d	P	k	1	173	0.00578034682080925
d	P	n	1	173	0.00578034682080925
$	s	8	1	173	0.00578034682080925
p	Q	_	2	346	0.00578034682080925
$	s	5	1	173	0.00578034682080925
$	s	#	1	173	0.00578034682080925
$	s	h	1	173	0.00578034682080925
p	Q	r	2	346	0.00578034682080925
s	Q	z	1	173	0.00578034682080925
d	P	l	1	173	0.00578034682080925
@	r	$	11	1908	0.00576519916142558
Q	p	f	2	347	0.00576368876080692
Q	p	6	2	347	0.00576368876080692
Q	p	7	2	347	0.00576368876080692
Q	p	n	2	347	0.00576368876080692
3	k	Q	1	174	0.00574712643678161
i	p	#	1	174	0.00574712643678161
d	2	3	1	174	0.00574712643678161
d	2	h	1	174	0.00574712643678161
3	k	l	1	174	0.00574712643678161
3	k	r	1	174	0.00574712643678161
i	p	_	1	174	0.00574712643678161
3	k	6	1	174	0.00574712643678161
d	1	5	1	174	0.00574712643678161
i	p	6	1	174	0.00574712643678161
d	2	w	1	174	0.00574712643678161
i	p	h	1	174	0.00574712643678161
d	2	_	1	174	0.00574712643678161
k	P	b	2	348	0.00574712643678161
d	2	E	1	174	0.00574712643678161
k	P	m	2	348	0.00574712643678161
k	P	@	2	348	0.00574712643678161
3	k	5	1	174	0.00574712643678161
i	p	j	1	174	0.00574712643678161
i	p	d	1	174	0.00574712643678161
i	p	5	1	174	0.00574712643678161
{	S	p	1	174	0.00574712643678161
3	k	1	1	174	0.00574712643678161
{	S	h	1	174	0.00574712643678161
{	S	i	1	174	0.00574712643678161
3	k	d	1	174	0.00574712643678161
i	p	m	1	174	0.00574712643678161
3	k	p	1	174	0.00574712643678161
{	S	7	1	174	0.00574712643678161
I	m	3	6	1048	0.00572519083969466
I	m	s	6	1048	0.00572519083969466
r	1	I	5	874	0.005720823798627
r	1	b	5	874	0.005720823798627
E	m	7	2	350	0.00571428571428571
E	m	t	2	350	0.00571428571428571
E	m	d	2	350	0.00571428571428571
d	@	S	5	878	0.00569476082004556
d	@	z	5	878	0.00569476082004556
 	t	4	10	1756	0.00569476082004556
@	l	V	10	1756	0.00569476082004556
$	m	s	1	176	0.00568181818181818
3	s	r	1	176	0.00568181818181818
3	s	{	1	176	0.00568181818181818
$	m	n	1	176	0.00568181818181818
$	m	p	1	176	0.00568181818181818
$	m	6	1	176	0.00568181818181818
$	m	T	1	176	0.00568181818181818
3	s	5	1	176	0.00568181818181818
3	s	j	1	176	0.00568181818181818
$	m	2	1	176	0.00568181818181818
$	m	k	1	176	0.00568181818181818
$	m	#	1	176	0.00568181818181818
3	s	s	1	176	0.00568181818181818
t	E	g	3	529	0.0056710775047259
7	l	g	1	177	0.00564971751412429
u	s	3	1	177	0.00564971751412429
2	d	6	2	354	0.00564971751412429
2	d	g	2	354	0.00564971751412429
7	l	i	1	177	0.00564971751412429
u	s	m	1	177	0.00564971751412429
7	l	1	1	177	0.00564971751412429
2	d	i	2	354	0.00564971751412429
u	s	s	1	177	0.00564971751412429
2	d	k	2	354	0.00564971751412429
2	d	{	2	354	0.00564971751412429
u	s	#	1	177	0.00564971751412429
r	#	J	1	178	0.00561797752808989
r	#	D	1	178	0.00561797752808989
r	#	b	1	178	0.00561797752808989
p	$	g	1	178	0.00561797752808989
r	#	R	1	178	0.00561797752808989
r	#	z	1	178	0.00561797752808989
r	#	w	1	178	0.00561797752808989
p	$	h	1	178	0.00561797752808989
p	$	f	1	178	0.00561797752808989
I	n	S	16	2863	0.005588543485854
i	m	S	1	179	0.00558659217877095
i	m	r	1	179	0.00558659217877095
i	m	b	1	179	0.00558659217877095
i	m	6	1	179	0.00558659217877095
i	m	s	1	179	0.00558659217877095
i	m	h	1	179	0.00558659217877095
#	d	m	1	180	0.00555555555555556
V	t	i	1	180	0.00555555555555556
V	t	n	1	180	0.00555555555555556
w	2	i	1	180	0.00555555555555556
V	t	#	1	180	0.00555555555555556
V	t	{	1	180	0.00555555555555556
V	t	w	1	180	0.00555555555555556
V	t	2	1	180	0.00555555555555556
V	t	h	1	180	0.00555555555555556
#	d	t	1	180	0.00555555555555556
V	t	S	1	180	0.00555555555555556
#	d	s	1	180	0.00555555555555556
V	t	d	1	180	0.00555555555555556
#	d	1	1	180	0.00555555555555556
V	t	k	1	180	0.00555555555555556
#	d	V	1	180	0.00555555555555556
w	2	v	1	180	0.00555555555555556
#	d	u	1	180	0.00555555555555556
V	t	p	1	180	0.00555555555555556
#	d	{	1	180	0.00555555555555556
V	t	6	1	180	0.00555555555555556
 	E	J	3	541	0.0055452865064695
{	t	n	3	541	0.0055452865064695
E	k	$	5	902	0.00554323725055432
@	g	~	1	181	0.00552486187845304
@	g	U	1	181	0.00552486187845304
@	g	m	1	181	0.00552486187845304
k	w	4	3	544	0.00551470588235294
b	r	8	3	545	0.0055045871559633
u	p	U	1	182	0.00549450549450549
u	p	S	1	182	0.00549450549450549
u	p	k	1	182	0.00549450549450549
u	p	h	1	182	0.00549450549450549
u	p	f	1	182	0.00549450549450549
u	p	Q	1	182	0.00549450549450549
u	p	u	1	182	0.00549450549450549
u	p	t	1	182	0.00549450549450549
E	l	E	4	729	0.00548696844993141
E	l	h	4	729	0.00548696844993141
{	n	5	7	1276	0.0054858934169279
{	n	h	7	1276	0.0054858934169279
b	{	z	2	366	0.00546448087431694
E	v	j	1	183	0.00546448087431694
b	{	J	2	366	0.00546448087431694
k	t	7	4	734	0.00544959128065395
n	t	m	14	2569	0.00544959128065395
k	V	z	2	367	0.00544959128065395
b	P	k	4	734	0.00544959128065395
k	V	_	2	367	0.00544959128065395
b	P	@	4	734	0.00544959128065395
k	t	8	4	734	0.00544959128065395
#	k	i	1	184	0.00543478260869565
#	k	2	1	184	0.00543478260869565
#	k	V	1	184	0.00543478260869565
#	k	n	1	184	0.00543478260869565
u	d	#	1	185	0.00540540540540541
u	d	$	1	185	0.00540540540540541
p	3	d	1	185	0.00540540540540541
u	d	u	1	185	0.00540540540540541
u	d	w	1	185	0.00540540540540541
m	2	{	1	185	0.00540540540540541
u	d	z	1	185	0.00540540540540541
u	d	i	1	185	0.00540540540540541
m	2	 	1	185	0.00540540540540541
u	d	V	1	185	0.00540540540540541
Q	m	s	2	370	0.00540540540540541
m	2	5	1	185	0.00540540540540541
m	@	z	7	1296	0.00540123456790123
I	v	$	5	926	0.00539956803455724
I	v	j	5	926	0.00539956803455724
@	d	#	3	556	0.00539568345323741
E	s	i	4	744	0.00537634408602151
E	s	5	4	744	0.00537634408602151
E	s	1	4	744	0.00537634408602151
Q	n	Q	4	744	0.00537634408602151
s	2	T	2	373	0.00536193029490617
s	2	D	2	373	0.00536193029490617
I	s	g	18	3362	0.00535395597858418
I	t	5	8	1500	0.00533333333333333
p	I	T	4	750	0.00533333333333333
p	I	v	4	750	0.00533333333333333
n	@	w	5	938	0.00533049040511727
5	m	7	1	189	0.00529100529100529
5	m	f	1	189	0.00529100529100529
5	m	k	1	189	0.00529100529100529
5	m	r	1	189	0.00529100529100529
5	m	t	1	189	0.00529100529100529
t	$	h	1	189	0.00529100529100529
5	m	g	1	189	0.00529100529100529
5	m	m	1	189	0.00529100529100529
t	$	s	1	189	0.00529100529100529
k	s	7	5	949	0.00526870389884088
k	s	w	5	949	0.00526870389884088
k	l	4	3	571	0.00525394045534151
@	r	6	10	1908	0.00524109014675052
I	n	i	15	2863	0.00523925951798812
b	E	T	1	191	0.00523560209424084
s	I	Z	9	1724	0.00522041763341067
h	#	s	1	192	0.00520833333333333
s	3	z	1	192	0.00520833333333333
h	#	r	1	192	0.00520833333333333
h	#	z	1	192	0.00520833333333333
i	n	2	2	385	0.00519480519480519
i	n	p	2	385	0.00519480519480519
i	n	h	2	385	0.00519480519480519
I	_	p	2	385	0.00519480519480519
I	_	w	2	385	0.00519480519480519
I	_	r	2	385	0.00519480519480519
i	n	b	2	385	0.00519480519480519
5	p	m	1	193	0.00518134715025907
5	p	P	1	193	0.00518134715025907
5	p	$	1	193	0.00518134715025907
5	p	9	1	193	0.00518134715025907
5	p	w	1	193	0.00518134715025907
5	p	d	1	193	0.00518134715025907
V	m	T	2	386	0.00518134715025907
r	u	6	2	388	0.00515463917525773
l	1	_	3	583	0.00514579759862779
l	1	r	3	583	0.00514579759862779
@	k	n	2	389	0.0051413881748072
r	i	Q	4	778	0.0051413881748072
r	i	j	4	778	0.0051413881748072
@	_	Q	1	195	0.00512820512820513
@	_	i	1	195	0.00512820512820513
@	_	1	1	195	0.00512820512820513
k	#	5	1	195	0.00512820512820513
@	_	9	1	195	0.00512820512820513
@	_	7	1	195	0.00512820512820513
 	t	7	9	1756	0.005125284738041
@	l	7	9	1756	0.005125284738041
l	{	J	3	586	0.00511945392491468
3	t	{	1	196	0.00510204081632653
3	t	u	1	196	0.00510204081632653
3	t	t	1	196	0.00510204081632653
3	t	w	1	196	0.00510204081632653
3	t	E	1	196	0.00510204081632653
V	n	S	5	981	0.00509683995922528
V	n	#	5	981	0.00509683995922528
V	n	V	5	981	0.00509683995922528
V	n	3	5	981	0.00509683995922528
@	b	2	6	1178	0.00509337860780985
l	2	w	3	589	0.00509337860780985
@	b	@	6	1178	0.00509337860780985
 	{	z	4	786	0.00508905852417303
l	f	5	1	197	0.0050761421319797
l	f	Q	1	197	0.0050761421319797
l	f	8	1	197	0.0050761421319797
k	1	z	2	394	0.0050761421319797
k	1	5	2	394	0.0050761421319797
Q	r	2	1	197	0.0050761421319797
l	f	m	1	197	0.0050761421319797
 	v	7	3	591	0.0050761421319797
w	3	z	1	197	0.0050761421319797
w	3	n	1	197	0.0050761421319797
w	3	p	1	197	0.0050761421319797
n	j	1	2	395	0.00506329113924051
n	j	E	2	395	0.00506329113924051
n	j	5	2	395	0.00506329113924051
d	i	_	1	199	0.0050251256281407
b	Q	f	1	199	0.0050251256281407
d	i	2	1	199	0.0050251256281407
d	i	@	1	199	0.0050251256281407
 	#	 	1	199	0.0050251256281407
b	Q	v	1	199	0.0050251256281407
 	#	h	1	199	0.0050251256281407
b	@	f	2	399	0.0050125313283208
b	@	k	2	399	0.0050125313283208
Q	g	7	1	200	0.005
i	l	J	1	200	0.005
p	#	z	1	200	0.005
i	l	6	1	200	0.005
i	l	r	1	200	0.005
i	l	h	1	200	0.005
Q	g	_	1	200	0.005
i	l	m	1	200	0.005
i	l	z	1	200	0.005
u	m	5	1	200	0.005
m	V	r	1	200	0.005
i	l	p	1	200	0.005
u	m	l	1	200	0.005
u	m	7	1	200	0.005
i	l	{	1	200	0.005
Q	g	5	1	200	0.005
p	#	v	1	200	0.005
i	l	i	1	200	0.005
u	m	#	1	200	0.005
u	m	m	1	200	0.005
Q	g	s	1	200	0.005
u	m	q	1	200	0.005
Q	g	i	1	200	0.005
i	l	l	1	200	0.005
i	l	7	1	200	0.005
i	l	s	1	200	0.005
u	m	i	1	200	0.005
Q	g	h	1	200	0.005
i	l	t	1	200	0.005
u	m	f	1	200	0.005
m	p	b	4	803	0.0049813200498132
t	@	h	11	2216	0.00496389891696751
g	@	v	2	403	0.00496277915632754
g	@	p	2	403	0.00496277915632754
g	@	k	2	403	0.00496277915632754
l	#	l	1	202	0.00495049504950495
s	m	q	1	202	0.00495049504950495
l	#	T	1	202	0.00495049504950495
l	#	J	1	202	0.00495049504950495
6	n	@	2	405	0.00493827160493827
s	@	 	4	812	0.00492610837438424
Q	d	b	1	203	0.00492610837438424
Q	d	J	1	203	0.00492610837438424
N	l	{	1	204	0.00490196078431373
I	f	#	3	612	0.00490196078431373
N	l	i	1	204	0.00490196078431373
p	E	z	2	408	0.00490196078431373
I	f	H	3	612	0.00490196078431373
p	{	v	2	408	0.00490196078431373
p	E	b	2	408	0.00490196078431373
I	n	8	14	2863	0.00488997555012225
$	t	2	2	410	0.0048780487804878
$	t	t	2	410	0.0048780487804878
i	z	p	1	205	0.0048780487804878
i	z	7	1	205	0.0048780487804878
i	z	5	1	205	0.0048780487804878
i	z	Q	1	205	0.0048780487804878
$	t	{	2	410	0.0048780487804878
i	z	w	1	205	0.0048780487804878
$	t	6	2	410	0.0048780487804878
i	z	q	1	205	0.0048780487804878
t	3	z	1	206	0.00485436893203883
 	I	p	11	2271	0.00484368119771026
d	I	1	10	2068	0.00483558994197292
m	#	d	1	207	0.00483091787439614
m	#	g	1	207	0.00483091787439614
m	#	R	1	207	0.00483091787439614
m	#	r	1	207	0.00483091787439614
l	5	S	2	415	0.00481927710843374
E	d	5	2	415	0.00481927710843374
l	5	i	2	415	0.00481927710843374
E	d	1	2	415	0.00481927710843374
l	5	Q	2	415	0.00481927710843374
E	d	n	2	415	0.00481927710843374
E	d	Q	2	415	0.00481927710843374
@	p	m	2	417	0.00479616306954436
@	p	2	2	417	0.00479616306954436
f	t	{	1	209	0.00478468899521531
#	n	i	1	209	0.00478468899521531
f	t	m	1	209	0.00478468899521531
b	l	3	3	627	0.00478468899521531
f	t	Q	1	209	0.00478468899521531
f	t	f	1	209	0.00478468899521531
I	d	s	5	1050	0.00476190476190476
I	d	i	5	1050	0.00476190476190476
I	s	$	16	3362	0.00475907198096371
I	s	Q	16	3362	0.00475907198096371
s	t	8	16	3367	0.00475200475200475
s	t	b	16	3367	0.00475200475200475
I	z	w	3	632	0.00474683544303797
I	z	6	3	632	0.00474683544303797
V	b	V	1	211	0.004739336492891
V	b	w	1	211	0.004739336492891
V	b	z	1	211	0.004739336492891
V	b	v	1	211	0.004739336492891
V	b	E	1	211	0.004739336492891
p	r	$	6	1270	0.0047244094488189
{	d	p	1	212	0.00471698113207547
{	d	w	1	212	0.00471698113207547
{	d	$	1	212	0.00471698113207547
{	d	f	1	212	0.00471698113207547
{	d	h	1	212	0.00471698113207547
{	d	{	1	212	0.00471698113207547
{	d	k	1	212	0.00471698113207547
{	n	J	6	1276	0.00470219435736677
7	r	i	1	213	0.00469483568075117
f	E	v	1	213	0.00469483568075117
f	E	b	1	213	0.00469483568075117
s	{	_	1	213	0.00469483568075117
k	r	7	4	853	0.00468933177022274
r	5	D	3	640	0.0046875
r	5	E	3	640	0.0046875
@	n	_	16	3422	0.00467562828755114
$	n	w	1	214	0.00467289719626168
$	n	5	1	214	0.00467289719626168
$	n	r	1	214	0.00467289719626168
$	n	p	1	214	0.00467289719626168
$	n	u	1	214	0.00467289719626168
$	n	i	1	214	0.00467289719626168
$	n	7	1	214	0.00467289719626168
$	n	S	1	214	0.00467289719626168
n	t	7	12	2569	0.00467107824056053
p	@	J	4	857	0.00466744457409568
I	t	p	7	1500	0.00466666666666667
I	t	b	7	1500	0.00466666666666667
I	t	f	7	1500	0.00466666666666667
r	I	{	15	3218	0.00466128029832194
w	$	S	1	215	0.00465116279069767
w	$	r	1	215	0.00465116279069767
w	$	D	1	215	0.00465116279069767
w	$	 	1	215	0.00465116279069767
m	E	f	2	430	0.00465116279069767
w	$	T	1	215	0.00465116279069767
n	d	{	8	1722	0.00464576074332172
n	d	Q	8	1722	0.00464576074332172
n	d	7	8	1722	0.00464576074332172
k	I	b	3	647	0.00463678516228748
k	I	{	3	647	0.00463678516228748
m	@	_	6	1296	0.00462962962962963
n	{	_	1	216	0.00462962962962963
m	@	T	6	1296	0.00462962962962963
n	{	T	1	216	0.00462962962962963
n	{	z	1	216	0.00462962962962963
I	l	n	6	1301	0.00461183704842429
_	E	f	1	217	0.00460829493087558
r	{	z	4	868	0.00460829493087558
k	S	3	1	217	0.00460829493087558
_	E	v	1	217	0.00460829493087558
k	S	1	1	217	0.00460829493087558
k	S	2	1	217	0.00460829493087558
k	S	#	1	217	0.00460829493087558
k	S	P	1	217	0.00460829493087558
d	V	_	1	218	0.00458715596330275
$	r	5	1	218	0.00458715596330275
$	r	U	1	218	0.00458715596330275
$	r	V	1	218	0.00458715596330275
r	1	g	4	874	0.0045766590389016
{	b	w	1	219	0.0045662100456621
{	b	m	1	219	0.0045662100456621
n	5	r	1	219	0.0045662100456621
{	b	3	1	219	0.0045662100456621
{	b	z	1	219	0.0045662100456621
{	b	i	1	219	0.0045662100456621
S	H	l	7	1533	0.0045662100456621
{	b	g	1	219	0.0045662100456621
{	b	Q	1	219	0.0045662100456621
j	u	T	5	1095	0.0045662100456621
{	b	1	1	219	0.0045662100456621
{	b	2	1	219	0.0045662100456621
 	k	4	16	3505	0.00456490727532097
 	t	9	8	1756	0.00455580865603645
I	n	$	13	2863	0.00454069158225637
I	p	7	3	662	0.00453172205438067
l	I	1	21	4653	0.00451321727917473
t	@	z	10	2216	0.00451263537906137
2	l	u	1	222	0.0045045045045045
